City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Trairi,BR,86.04,Clear,-3.2778,-39.2689,janelas do mar
244,Le Port,RE,71.6,Clouds,-20.9373,55.2919,KORBEY D'OR OUEST
245,Los Llanos De Aridane,ES,74.12,Clouds,28.6585,-17.9182,Valle Aridane
249,Marawi,PH,70.23,Clouds,7.9986,124.2928,Derogongan Residence
251,Kulhudhuffushi,MV,81.55,Clouds,6.6221,73.07,Haajy Guest House 1
252,Ponta Do Sol,PT,75.7,Clouds,32.6667,-17.1,Hotel do Campo
253,Buala,SB,79.7,Clouds,-8.145,159.5921,Maringe Lagoon Lodge
254,Shakawe,BW,83.1,Clear,-18.3667,21.85,Ditlhapi Guest House
255,Santiago,CL,68.25,Clouds,-33.4569,-70.6483,Hotel Panamericano
258,Merauke,ID,78.66,Clouds,-8.4667,140.3333,
259,Gwembe,ZM,75.58,Clear,-16.4975,27.6069,
262,Nacala,MZ,73.26,Clear,-14.5428,40.6728,Nacala Plaza Business Design Hotel
263,Lambayeque,PE,69.91,Clear,-6.7011,-79.9061,Hostería San Roque
264,Barranquilla,CO,85.78,Clouds,10.9639,-74.7964,HOTEL AVANTY
266,Manokwari,ID,78.3,Clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
267,Jalu,LY,75.24,Clear,29.0331,21.5482,صاحبة الفخامة
268,Upington,ZA,86.38,Clear,-28.4478,21.2561,River Place Manor
269,Denpasar,ID,82.06,Clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
270,Daru,PG,79.32,Clouds,-9.0763,143.2092,Daru Lodge
272,Mahebourg,MU,71.89,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
273,Terme,TR,66.13,Clouds,41.2092,36.9739,OTEL GÜVEN TERME
274,Eldorado,BR,75.63,Clear,-23.7869,-54.2836,Villa Verde Hotel
275,Praia Da Vitoria,PT,79.05,Clouds,38.7333,-27.0667,Hotel Branco I
278,Beeville,US,86.63,Clear,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
