City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Homer,US,59.6425,-151.5483,55.29,71,100,6.91,Clouds
299,Rapar,IN,23.5667,70.6333,86.23,57,31,9.89,Clouds
300,Srednekolymsk,RU,67.45,153.6833,19.94,78,99,13.27,Clouds
301,Makakilo City,US,21.3469,-158.0858,75.43,78,40,4.61,Clouds
302,Jawhar,SO,2.7809,45.5005,76.5,79,38,14.58,Clouds
303,Adelaide,AU,-34.9333,138.6,48.29,83,20,3.0,Clouds
304,Notse,TG,6.95,1.1667,79.09,85,96,3.2,Rain
305,La Asuncion,VE,11.0333,-63.8628,85.73,84,54,16.11,Clouds
306,Teya,RU,60.3778,92.6267,39.72,77,100,11.03,Clouds
307,Wageningen,NL,51.9667,5.6667,56.05,69,24,4.61,Clouds
308,Boyabat,TR,41.4689,34.7667,61.21,81,80,1.12,Clouds
309,Lethem,GY,3.3803,-59.7968,96.89,35,47,4.92,Clouds
310,Sitka,US,57.0531,-135.33,55.29,100,100,0.0,Mist
311,Abalak,RU,58.1286,68.5944,43.99,90,100,3.74,Clouds
312,Coffs Harbour,AU,-30.3,153.1333,67.96,83,100,17.27,Rain
313,Yendi,GH,9.4427,-0.0099,77.22,83,61,5.46,Clouds
314,Grindavik,IS,63.8424,-22.4338,44.55,87,75,9.22,Rain
315,Saint Anthony,US,45.0205,-93.218,57.76,44,0,14.97,Clear
316,Ilebo,CD,-4.3167,20.5833,75.27,79,89,1.52,Rain
317,Atbasar,KZ,51.8,68.3333,48.22,74,100,11.39,Clouds
318,Salisbury,GB,51.0693,-1.7957,58.57,59,10,5.75,Clear
319,Turayf,SA,31.6725,38.6637,79.05,47,0,13.8,Clear
320,Long Beach,US,33.767,-118.1892,81.95,81,0,5.01,Haze
321,Adrar,MR,20.5022,-10.0711,98.98,14,12,7.16,Clouds
322,Grand Gaube,MU,-20.0064,57.6608,72.0,64,32,7.0,Clouds
323,Aras,ES,42.5617,-2.356,66.61,52,0,3.44,Clear
324,Sovetskiy,RU,61.3614,63.5842,39.99,92,33,5.99,Clouds
325,Hambantota,LK,6.1241,81.1185,79.47,79,53,13.09,Clouds
326,Mugur-Aksy,RU,50.35,90.5,28.6,53,28,6.15,Clouds
327,Qui Nhon,VN,13.7667,109.2333,77.61,90,100,5.53,Clouds
328,Villeneuve-Sur-Lot,FR,44.5,0.6667,68.05,77,88,3.27,Clouds
329,Morki,RU,56.4303,48.9947,46.36,92,35,6.35,Clouds
330,Luau,AO,-10.7073,22.2247,78.84,16,1,4.97,Clear
331,Alto Araguaia,BR,-17.3147,-53.2153,92.57,27,86,9.33,Clouds
332,Dharchula,IN,29.85,80.5333,63.95,94,100,3.98,Rain
333,Baker City,US,44.7749,-117.8344,53.31,58,0,0.0,Clear
334,Kabinda,CD,-6.1333,24.4833,71.22,72,57,4.76,Clouds
335,Atar,MR,20.5169,-13.0499,100.51,19,4,14.29,Rain
336,Sunrise,US,26.1577,-80.2861,86.0,76,100,16.11,Clouds
337,Tefe,BR,-3.3542,-64.7114,93.31,59,20,10.36,Clouds
338,Bilma,NE,18.6853,12.9164,91.89,15,39,7.45,Clouds
339,Asau,RO,46.4333,26.4,54.52,72,86,1.39,Clouds
340,Lagoa,PT,39.05,-27.9833,70.5,91,80,13.33,Clouds
341,Yurgamysh,RU,55.3714,64.4656,42.37,89,100,8.52,Clouds
